Current time: 0
Waiting people:
>>1 -> (arrT: 55; servT: 3)
>>343 -> (arrT: 68; servT: 3)
>>344 -> (arrT: 49; servT: 4)
>>345 -> (arrT: 77; servT: 3)
>>346 -> (arrT: 60; servT: 6)
>>351 -> (arrT: 89; servT: 7)
>>352 -> (arrT: 89; servT: 5)
>>354 -> (arrT: 87; servT: 3)
>>355 -> (arrT: 84; servT: 3)
>>358 -> (arrT: 46; servT: 6)
>>360 -> (arrT: 69; servT: 6)
>>363 -> (arrT: 86; servT: 7)
>>364 -> (arrT: 50; servT: 8)
>>366 -> (arrT: 65; servT: 4)
>>368 -> (arrT: 44; servT: 7)
>>372 -> (arrT: 54; servT: 4)
>>373 -> (arrT: 89; servT: 7)
>>374 -> (arrT: 53; servT: 6)
>>378 -> (arrT: 78; servT: 8)
>>379 -> (arrT: 84; servT: 5)
>>380 -> (arrT: 86; servT: 3)
>>382 -> (arrT: 82; servT: 5)
>>390 -> (arrT: 84; servT: 5)
>>391 -> (arrT: 59; servT: 6)
>>394 -> (arrT: 72; servT: 4)
>>396 -> (arrT: 90; servT: 6)
>>399 -> (arrT: 90; servT: 8)
>>403 -> (arrT: 90; servT: 8)
>>405 -> (arrT: 63; servT: 4)
>>406 -> (arrT: 50; servT: 5)
>>408 -> (arrT: 89; servT: 8)
>>409 -> (arrT: 70; servT: 3)
>>412 -> (arrT: 43; servT: 8)
>>414 -> (arrT: 84; servT: 7)
>>415 -> (arrT: 45; servT: 6)
>>416 -> (arrT: 55; servT: 3)
>>417 -> (arrT: 69; servT: 3)
>>418 -> (arrT: 48; servT: 6)
>>419 -> (arrT: 84; servT: 4)
>>420 -> (arrT: 50; servT: 4)
>>421 -> (arrT: 68; servT: 3)
>>423 -> (arrT: 45; servT: 6)
>>424 -> (arrT: 49; servT: 6)
>>426 -> (arrT: 56; servT: 5)
>>427 -> (arrT: 55; servT: 7)
>>429 -> (arrT: 57; servT: 6)
>>434 -> (arrT: 46; servT: 6)
>>437 -> (arrT: 61; servT: 3)
>>438 -> (arrT: 61; servT: 6)
>>439 -> (arrT: 62; servT: 7)
>>440 -> (arrT: 55; servT: 8)
>>441 -> (arrT: 51; servT: 5)
>>442 -> (arrT: 43; servT: 5)
>>443 -> (arrT: 43; servT: 3)
>>444 -> (arrT: 47; servT: 7)
>>445 -> (arrT: 85; servT: 6)
>>446 -> (arrT: 61; servT: 4)
>>447 -> (arrT: 54; servT: 6)
>>453 -> (arrT: 85; servT: 5)
>>454 -> (arrT: 68; servT: 3)
>>456 -> (arrT: 66; servT: 8)
>>457 -> (arrT: 71; servT: 4)
>>460 -> (arrT: 57; servT: 7)
>>461 -> (arrT: 79; servT: 3)
>>462 -> (arrT: 75; servT: 8)
>>463 -> (arrT: 79; servT: 3)
>>464 -> (arrT: 82; servT: 6)
>>465 -> (arrT: 77; servT: 5)
>>466 -> (arrT: 67; servT: 8)
>>467 -> (arrT: 54; servT: 8)
>>469 -> (arrT: 45; servT: 3)
>>470 -> (arrT: 88; servT: 4)
>>471 -> (arrT: 85; servT: 6)
>>475 -> (arrT: 77; servT: 8)
>>476 -> (arrT: 47; servT: 5)
>>479 -> (arrT: 45; servT: 8)
>>480 -> (arrT: 90; servT: 8)
>>481 -> (arrT: 50; servT: 8)
>>483 -> (arrT: 86; servT: 3)
>>484 -> (arrT: 61; servT: 6)
>>486 -> (arrT: 69; servT: 5)
>>487 -> (arrT: 81; servT: 4)
>>490 -> (arrT: 67; servT: 8)
>>496 -> (arrT: 71; servT: 5)
>>497 -> (arrT: 55; servT: 4)
>>498 -> (arrT: 55; servT: 5)
>>500 -> (arrT: 65; servT: 7)
>>502 -> (arrT: 84; servT: 4)
>>503 -> (arrT: 88; servT: 6)
>>505 -> (arrT: 61; servT: 6)
>>506 -> (arrT: 80; servT: 7)
>>509 -> (arrT: 55; servT: 7)
>>510 -> (arrT: 58; servT: 6)
>>511 -> (arrT: 43; servT: 3)
>>515 -> (arrT: 50; servT: 4)
>>516 -> (arrT: 85; servT: 6)
>>517 -> (arrT: 46; servT: 3)
>>519 -> (arrT: 53; servT: 5)
>>520 -> (arrT: 74; servT: 6)
>>522 -> (arrT: 52; servT: 4)
>>529 -> (arrT: 63; servT: 5)
>>530 -> (arrT: 82; servT: 8)
>>532 -> (arrT: 64; servT: 3)
>>533 -> (arrT: 71; servT: 3)
>>536 -> (arrT: 71; servT: 3)
>>537 -> (arrT: 50; servT: 5)
>>538 -> (arrT: 80; servT: 7)
>>539 -> (arrT: 77; servT: 4)
>>540 -> (arrT: 50; servT: 4)
>>541 -> (arrT: 77; servT: 4)
>>544 -> (arrT: 45; servT: 8)
>>547 -> (arrT: 63; servT: 3)
>>549 -> (arrT: 86; servT: 3)
>>550 -> (arrT: 71; servT: 5)
>>553 -> (arrT: 88; servT: 3)
>>555 -> (arrT: 69; servT: 6)
>>558 -> (arrT: 70; servT: 5)
>>562 -> (arrT: 51; servT: 7)
>>563 -> (arrT: 72; servT: 8)
>>564 -> (arrT: 67; servT: 6)
>>565 -> (arrT: 56; servT: 8)
>>568 -> (arrT: 78; servT: 7)
>>569 -> (arrT: 55; servT: 4)
>>570 -> (arrT: 67; servT: 3)
>>571 -> (arrT: 43; servT: 3)
>>572 -> (arrT: 57; servT: 8)
>>573 -> (arrT: 54; servT: 8)
>>581 -> (arrT: 48; servT: 7)
>>582 -> (arrT: 44; servT: 4)
>>584 -> (arrT: 75; servT: 3)
>>586 -> (arrT: 65; servT: 3)
>>588 -> (arrT: 45; servT: 7)
>>591 -> (arrT: 57; servT: 4)
>>592 -> (arrT: 72; servT: 7)
>>593 -> (arrT: 86; servT: 3)
>>594 -> (arrT: 44; servT: 4)
>>595 -> (arrT: 81; servT: 4)
>>596 -> (arrT: 54; servT: 6)
>>598 -> (arrT: 87; servT: 3)
>>599 -> (arrT: 53; servT: 8)
>>602 -> (arrT: 48; servT: 4)
>>603 -> (arrT: 74; servT: 6)
>>605 -> (arrT: 70; servT: 7)
>>607 -> (arrT: 68; servT: 7)
>>608 -> (arrT: 90; servT: 8)
>>609 -> (arrT: 43; servT: 7)
>>612 -> (arrT: 64; servT: 8)
>>614 -> (arrT: 66; servT: 8)
>>616 -> (arrT: 82; servT: 8)
>>617 -> (arrT: 47; servT: 6)
>>618 -> (arrT: 85; servT: 5)
>>619 -> (arrT: 88; servT: 6)
>>620 -> (arrT: 79; servT: 4)
>>621 -> (arrT: 45; servT: 5)
>>622 -> (arrT: 58; servT: 3)
>>623 -> (arrT: 80; servT: 8)
>>624 -> (arrT: 47; servT: 6)
>>627 -> (arrT: 62; servT: 8)
>>630 -> (arrT: 78; servT: 6)
>>631 -> (arrT: 75; servT: 4)
>>634 -> (arrT: 59; servT: 6)
>>635 -> (arrT: 60; servT: 3)
>>638 -> (arrT: 67; servT: 3)
>>639 -> (arrT: 58; servT: 3)
>>641 -> (arrT: 87; servT: 7)
>>642 -> (arrT: 85; servT: 4)
>>643 -> (arrT: 45; servT: 5)
>>645 -> (arrT: 44; servT: 4)
>>646 -> (arrT: 79; servT: 8)
>>647 -> (arrT: 84; servT: 6)
>>651 -> (arrT: 89; servT: 8)
>>655 -> (arrT: 63; servT: 8)
>>656 -> (arrT: 63; servT: 4)
>>657 -> (arrT: 68; servT: 8)
>>658 -> (arrT: 45; servT: 8)
>>661 -> (arrT: 80; servT: 8)
>>662 -> (arrT: 45; servT: 4)
>>663 -> (arrT: 66; servT: 5)
>>664 -> (arrT: 64; servT: 5)
>>665 -> (arrT: 51; servT: 4)
>>668 -> (arrT: 65; servT: 8)
>>671 -> (arrT: 54; servT: 6)
>>672 -> (arrT: 48; servT: 8)
>>673 -> (arrT: 48; servT: 5)
>>679 -> (arrT: 62; servT: 5)
>>687 -> (arrT: 62; servT: 7)
>>688 -> (arrT: 88; servT: 7)
>>693 -> (arrT: 52; servT: 3)
>>694 -> (arrT: 44; servT: 6)
>>695 -> (arrT: 86; servT: 4)
>>696 -> (arrT: 87; servT: 8)
>>697 -> (arrT: 60; servT: 5)
>>701 -> (arrT: 55; servT: 3)
>>703 -> (arrT: 46; servT: 5)
>>704 -> (arrT: 67; servT: 5)
>>706 -> (arrT: 65; servT: 7)
>>707 -> (arrT: 81; servT: 3)
>>710 -> (arrT: 65; servT: 8)
>>711 -> (arrT: 63; servT: 4)
>>712 -> (arrT: 60; servT: 7)
>>714 -> (arrT: 59; servT: 3)
>>715 -> (arrT: 46; servT: 6)
>>717 -> (arrT: 58; servT: 4)
>>718 -> (arrT: 76; servT: 3)
>>719 -> (arrT: 86; servT: 8)
>>721 -> (arrT: 86; servT: 5)
>>723 -> (arrT: 87; servT: 5)
>>726 -> (arrT: 78; servT: 3)
>>727 -> (arrT: 60; servT: 3)
>>728 -> (arrT: 57; servT: 3)
>>729 -> (arrT: 60; servT: 6)
>>730 -> (arrT: 77; servT: 8)
>>731 -> (arrT: 66; servT: 8)
>>732 -> (arrT: 59; servT: 7)
>>735 -> (arrT: 43; servT: 6)
>>738 -> (arrT: 51; servT: 5)
>>740 -> (arrT: 55; servT: 3)
>>741 -> (arrT: 90; servT: 4)
>>745 -> (arrT: 79; servT: 8)
>>747 -> (arrT: 60; servT: 7)
>>748 -> (arrT: 53; servT: 6)
>>749 -> (arrT: 77; servT: 7)
>>750 -> (arrT: 62; servT: 7)
>>751 -> (arrT: 77; servT: 5)
>>752 -> (arrT: 64; servT: 8)
>>754 -> (arrT: 53; servT: 6)
>>755 -> (arrT: 81; servT: 3)
>>757 -> (arrT: 89; servT: 4)
>>758 -> (arrT: 63; servT: 3)
>>761 -> (arrT: 70; servT: 6)
>>763 -> (arrT: 53; servT: 8)
>>764 -> (arrT: 43; servT: 7)
>>767 -> (arrT: 45; servT: 8)
>>768 -> (arrT: 62; servT: 6)
>>769 -> (arrT: 46; servT: 5)
>>770 -> (arrT: 65; servT: 4)
>>773 -> (arrT: 68; servT: 8)
>>774 -> (arrT: 61; servT: 5)
>>776 -> (arrT: 77; servT: 3)
>>778 -> (arrT: 60; servT: 6)
>>782 -> (arrT: 69; servT: 5)
>>783 -> (arrT: 65; servT: 7)
>>784 -> (arrT: 48; servT: 8)
>>785 -> (arrT: 60; servT: 3)
>>786 -> (arrT: 49; servT: 5)
>>789 -> (arrT: 56; servT: 6)
>>790 -> (arrT: 87; servT: 7)
>>797 -> (arrT: 68; servT: 7)
>>798 -> (arrT: 60; servT: 3)
>>799 -> (arrT: 68; servT: 4)
>>800 -> (arrT: 44; servT: 3)
>>802 -> (arrT: 48; servT: 5)
>>803 -> (arrT: 55; servT: 7)
>>805 -> (arrT: 87; servT: 3)
>>808 -> (arrT: 58; servT: 6)
>>809 -> (arrT: 75; servT: 4)
>>812 -> (arrT: 79; servT: 5)
>>813 -> (arrT: 83; servT: 7)
>>816 -> (arrT: 74; servT: 7)
>>820 -> (arrT: 49; servT: 6)
>>821 -> (arrT: 83; servT: 7)
>>822 -> (arrT: 52; servT: 4)
>>824 -> (arrT: 59; servT: 5)
>>825 -> (arrT: 80; servT: 8)
>>826 -> (arrT: 64; servT: 6)
>>827 -> (arrT: 57; servT: 3)
>>829 -> (arrT: 55; servT: 8)
>>832 -> (arrT: 57; servT: 4)
>>834 -> (arrT: 80; servT: 3)
>>835 -> (arrT: 74; servT: 4)
>>836 -> (arrT: 61; servT: 8)
>>844 -> (arrT: 58; servT: 7)
>>846 -> (arrT: 74; servT: 4)
>>848 -> (arrT: 45; servT: 3)
>>849 -> (arrT: 68; servT: 5)
>>853 -> (arrT: 65; servT: 5)
>>859 -> (arrT: 51; servT: 5)
>>864 -> (arrT: 45; servT: 8)
>>865 -> (arrT: 76; servT: 5)
>>866 -> (arrT: 55; servT: 8)
>>869 -> (arrT: 76; servT: 3)
>>871 -> (arrT: 43; servT: 4)
>>872 -> (arrT: 49; servT: 6)
>>874 -> (arrT: 75; servT: 6)
>>875 -> (arrT: 89; servT: 6)
>>877 -> (arrT: 84; servT: 6)
>>878 -> (arrT: 84; servT: 4)
>>879 -> (arrT: 52; servT: 5)
>>880 -> (arrT: 73; servT: 3)
>>881 -> (arrT: 81; servT: 5)
>>882 -> (arrT: 64; servT: 6)
>>883 -> (arrT: 60; servT: 8)
>>886 -> (arrT: 50; servT: 5)
>>888 -> (arrT: 50; servT: 8)
>>891 -> (arrT: 46; servT: 6)
>>895 -> (arrT: 78; servT: 4)
>>896 -> (arrT: 57; servT: 7)
>>898 -> (arrT: 61; servT: 5)
>>899 -> (arrT: 79; servT: 3)
>>901 -> (arrT: 78; servT: 7)
>>903 -> (arrT: 76; servT: 8)
>>904 -> (arrT: 49; servT: 8)
>>905 -> (arrT: 70; servT: 3)
>>907 -> (arrT: 68; servT: 4)
>>908 -> (arrT: 81; servT: 7)
>>909 -> (arrT: 68; servT: 4)
>>910 -> (arrT: 79; servT: 3)
>>911 -> (arrT: 84; servT: 6)
>>912 -> (arrT: 62; servT: 8)
>>913 -> (arrT: 61; servT: 3)
>>917 -> (arrT: 54; servT: 5)
>>919 -> (arrT: 83; servT: 4)
>>920 -> (arrT: 48; servT: 3)
>>921 -> (arrT: 49; servT: 3)
>>923 -> (arrT: 80; servT: 5)
>>925 -> (arrT: 58; servT: 5)
>>926 -> (arrT: 87; servT: 3)
>>927 -> (arrT: 61; servT: 4)
>>929 -> (arrT: 77; servT: 8)
>>932 -> (arrT: 80; servT: 7)
>>934 -> (arrT: 54; servT: 3)
>>935 -> (arrT: 70; servT: 7)
>>937 -> (arrT: 83; servT: 8)
>>938 -> (arrT: 87; servT: 8)
>>940 -> (arrT: 78; servT: 4)
>>943 -> (arrT: 86; servT: 4)
>>944 -> (arrT: 54; servT: 6)
>>947 -> (arrT: 66; servT: 6)
>>948 -> (arrT: 78; servT: 8)
>>950 -> (arrT: 77; servT: 7)
>>951 -> (arrT: 60; servT: 4)
>>952 -> (arrT: 88; servT: 6)
>>953 -> (arrT: 76; servT: 7)
>>954 -> (arrT: 88; servT: 6)
>>955 -> (arrT: 87; servT: 4)
>>958 -> (arrT: 66; servT: 6)
>>960 -> (arrT: 51; servT: 6)
>>962 -> (arrT: 79; servT: 3)
>>964 -> (arrT: 45; servT: 7)
>>965 -> (arrT: 89; servT: 3)
>>968 -> (arrT: 58; servT: 4)
>>969 -> (arrT: 83; servT: 7)
>>970 -> (arrT: 69; servT: 3)
>>971 -> (arrT: 45; servT: 4)
>>972 -> (arrT: 90; servT: 8)
>>973 -> (arrT: 48; servT: 8)
>>976 -> (arrT: 57; servT: 4)
>>977 -> (arrT: 74; servT: 5)
>>978 -> (arrT: 72; servT: 4)
>>979 -> (arrT: 66; servT: 8)
>>982 -> (arrT: 79; servT: 5)
>>983 -> (arrT: 55; servT: 8)
>>985 -> (arrT: 43; servT: 3)
>>987 -> (arrT: 45; servT: 7)
>>988 -> (arrT: 79; servT: 3)
>>993 -> (arrT: 62; servT: 5)
>>995 -> (arrT: 63; servT: 7)
>>996 -> (arrT: 68; servT: 7)
>>997 -> (arrT: 49; servT: 6)
>>998 -> (arrT: 51; servT: 7)
>>1000 -> (arrT: 73; servT: 3)

State of servers:
server: <Thread #1> has amount of work: 18
	452 -> (arrT: 13; servT: 7)
	88 -> (arrT: 16; servT: 7)
	422 -> (arrT: 17; servT: 3)
	227 -> (arrT: 19; servT: 8)
	495 -> (arrT: 21; servT: 8)
	111 -> (arrT: 23; servT: 3)
	857 -> (arrT: 23; servT: 3)
	398 -> (arrT: 25; servT: 7)
	179 -> (arrT: 26; servT: 8)
	432 -> (arrT: 27; servT: 8)
	838 -> (arrT: 29; servT: 7)
	683 -> (arrT: 31; servT: 4)
	86 -> (arrT: 34; servT: 6)
	305 -> (arrT: 34; servT: 4)
	699 -> (arrT: 37; servT: 7)
	737 -> (arrT: 39; servT: 8)
	521 -> (arrT: 41; servT: 5)
	523 -> (arrT: 42; servT: 8)
server: <Thread #2> has amount of work: 18
	5 -> (arrT: 16; servT: 7)
	114 -> (arrT: 16; servT: 5)
	425 -> (arrT: 17; servT: 5)
	576 -> (arrT: 21; servT: 5)
	113 -> (arrT: 23; servT: 3)
	956 -> (arrT: 23; servT: 5)
	606 -> (arrT: 25; servT: 4)
	488 -> (arrT: 27; servT: 3)
	126 -> (arrT: 29; servT: 7)
	840 -> (arrT: 29; servT: 6)
	842 -> (arrT: 31; servT: 4)
	177 -> (arrT: 34; servT: 3)
	359 -> (arrT: 34; servT: 5)
	862 -> (arrT: 37; servT: 7)
	79 -> (arrT: 38; servT: 3)
	811 -> (arrT: 39; servT: 6)
	534 -> (arrT: 41; servT: 5)
	851 -> (arrT: 42; servT: 3)
server: <Thread #3> has amount of work: 18
	675 -> (arrT: 13; servT: 4)
	169 -> (arrT: 15; servT: 3)
	212 -> (arrT: 16; servT: 5)
	629 -> (arrT: 17; servT: 4)
	244 -> (arrT: 21; servT: 7)
	666 -> (arrT: 21; servT: 8)
	137 -> (arrT: 24; servT: 3)
	615 -> (arrT: 25; servT: 8)
	494 -> (arrT: 27; servT: 3)
	353 -> (arrT: 28; servT: 5)
	850 -> (arrT: 29; servT: 5)
	933 -> (arrT: 31; servT: 3)
	255 -> (arrT: 32; servT: 6)
	392 -> (arrT: 34; servT: 7)
	868 -> (arrT: 37; servT: 5)
	138 -> (arrT: 38; servT: 4)
	887 -> (arrT: 39; servT: 3)
	535 -> (arrT: 41; servT: 5)
server: <Thread #4> has amount of work: 18
	451 -> (arrT: 15; servT: 1)
	307 -> (arrT: 16; servT: 8)
	894 -> (arrT: 17; servT: 4)
	397 -> (arrT: 18; servT: 3)
	692 -> (arrT: 21; servT: 8)
	308 -> (arrT: 24; servT: 8)
	89 -> (arrT: 25; servT: 8)
	626 -> (arrT: 25; servT: 5)
	542 -> (arrT: 27; servT: 6)
	861 -> (arrT: 29; servT: 6)
	473 -> (arrT: 30; servT: 5)
	338 -> (arrT: 32; servT: 7)
	84 -> (arrT: 33; servT: 8)
	518 -> (arrT: 34; servT: 8)
	928 -> (arrT: 37; servT: 4)
	49 -> (arrT: 39; servT: 3)
	918 -> (arrT: 39; servT: 6)
	830 -> (arrT: 41; servT: 4)
server: <Thread #5> has amount of work: 18
	890 -> (arrT: 13; servT: 6)
	514 -> (arrT: 15; servT: 7)
	312 -> (arrT: 16; servT: 6)
	966 -> (arrT: 16; servT: 8)
	775 -> (arrT: 21; servT: 5)
	283 -> (arrT: 22; servT: 7)
	317 -> (arrT: 24; servT: 5)
	640 -> (arrT: 25; servT: 8)
	674 -> (arrT: 27; servT: 5)
	527 -> (arrT: 28; servT: 7)
	936 -> (arrT: 29; servT: 6)
	669 -> (arrT: 32; servT: 4)
	578 -> (arrT: 34; servT: 3)
	884 -> (arrT: 35; servT: 4)
	974 -> (arrT: 37; servT: 5)
	237 -> (arrT: 40; servT: 5)
	168 -> (arrT: 41; servT: 4)
	858 -> (arrT: 41; servT: 6)
server: <Thread #6> has amount of work: 17
	349 -> (arrT: 16; servT: 8)
	192 -> (arrT: 17; servT: 3)
	401 -> (arrT: 18; servT: 4)
	876 -> (arrT: 21; servT: 5)
	170 -> (arrT: 23; servT: 8)
	504 -> (arrT: 24; servT: 7)
	667 -> (arrT: 25; servT: 5)
	30 -> (arrT: 27; servT: 5)
	742 -> (arrT: 27; servT: 5)
	580 -> (arrT: 30; servT: 4)
	21 -> (arrT: 32; servT: 8)
	722 -> (arrT: 32; servT: 3)
	587 -> (arrT: 34; servT: 3)
	116 -> (arrT: 37; servT: 4)
	246 -> (arrT: 38; servT: 6)
	262 -> (arrT: 40; servT: 3)
	892 -> (arrT: 41; servT: 5)
server: <Thread #7> has amount of work: 17
	652 -> (arrT: 14; servT: 2)
	377 -> (arrT: 16; servT: 6)
	233 -> (arrT: 17; servT: 3)
	472 -> (arrT: 18; servT: 4)
	436 -> (arrT: 20; servT: 8)
	459 -> (arrT: 22; servT: 8)
	512 -> (arrT: 24; servT: 5)
	96 -> (arrT: 25; servT: 7)
	734 -> (arrT: 25; servT: 6)
	766 -> (arrT: 27; servT: 8)
	601 -> (arrT: 30; servT: 8)
	922 -> (arrT: 32; servT: 6)
	188 -> (arrT: 33; servT: 4)
	823 -> (arrT: 34; servT: 7)
	8 -> (arrT: 38; servT: 6)
	332 -> (arrT: 38; servT: 4)
	302 -> (arrT: 40; servT: 6)
server: <Thread #8> has amount of work: 17
	733 -> (arrT: 14; servT: 6)
	56 -> (arrT: 16; servT: 8)
	485 -> (arrT: 16; servT: 8)
	545 -> (arrT: 18; servT: 3)
	787 -> (arrT: 22; servT: 5)
	201 -> (arrT: 23; servT: 3)
	528 -> (arrT: 24; servT: 6)
	839 -> (arrT: 25; servT: 8)
	854 -> (arrT: 27; servT: 7)
	165 -> (arrT: 29; servT: 3)
	649 -> (arrT: 30; servT: 8)
	205 -> (arrT: 33; servT: 3)
	37 -> (arrT: 36; servT: 7)
	356 -> (arrT: 36; servT: 4)
	567 -> (arrT: 38; servT: 5)
	319 -> (arrT: 40; servT: 8)
	98 -> (arrT: 42; servT: 7)
server: <Thread #9> has amount of work: 17
	24 -> (arrT: 14; servT: 1)
	780 -> (arrT: 14; servT: 6)
	556 -> (arrT: 16; servT: 7)
	795 -> (arrT: 18; servT: 4)
	323 -> (arrT: 19; servT: 8)
	867 -> (arrT: 22; servT: 7)
	11 -> (arrT: 24; servT: 6)
	610 -> (arrT: 24; servT: 8)
	860 -> (arrT: 25; servT: 8)
	559 -> (arrT: 28; servT: 4)
	285 -> (arrT: 29; servT: 3)
	654 -> (arrT: 30; servT: 5)
	226 -> (arrT: 33; servT: 4)
	16 -> (arrT: 35; servT: 4)
	365 -> (arrT: 36; servT: 7)
	590 -> (arrT: 38; servT: 4)
	347 -> (arrT: 40; servT: 8)
server: <Thread #10> has amount of work: 17
	765 -> (arrT: 11; servT: 1)
	815 -> (arrT: 14; servT: 5)
	589 -> (arrT: 16; servT: 7)
	245 -> (arrT: 18; servT: 7)
	915 -> (arrT: 18; servT: 4)
	902 -> (arrT: 22; servT: 3)
	746 -> (arrT: 24; servT: 8)
	124 -> (arrT: 25; servT: 8)
	371 -> (arrT: 26; servT: 8)
	681 -> (arrT: 28; servT: 7)
	430 -> (arrT: 29; servT: 8)
	690 -> (arrT: 30; servT: 6)
	276 -> (arrT: 33; servT: 5)
	78 -> (arrT: 36; servT: 7)
	508 -> (arrT: 36; servT: 6)
	632 -> (arrT: 38; servT: 3)
	525 -> (arrT: 40; servT: 6)
server: <Thread #11> has amount of work: 17
	637 -> (arrT: 15; servT: 5)
	648 -> (arrT: 16; servT: 6)
	931 -> (arrT: 18; servT: 5)
	350 -> (arrT: 19; servT: 3)
	963 -> (arrT: 22; servT: 5)
	796 -> (arrT: 24; servT: 8)
	29 -> (arrT: 26; servT: 8)
	557 -> (arrT: 26; servT: 6)
	705 -> (arrT: 28; servT: 3)
	743 -> (arrT: 30; servT: 5)
	65 -> (arrT: 31; servT: 5)
	293 -> (arrT: 33; servT: 7)
	200 -> (arrT: 34; servT: 5)
	597 -> (arrT: 36; servT: 5)
	760 -> (arrT: 38; servT: 7)
	566 -> (arrT: 40; servT: 7)
	284 -> (arrT: 42; servT: 6)
server: <Thread #12> has amount of work: 17
	691 -> (arrT: 16; servT: 6)
	369 -> (arrT: 19; servT: 6)
	52 -> (arrT: 22; servT: 5)
	225 -> (arrT: 23; servT: 5)
	828 -> (arrT: 24; servT: 3)
	575 -> (arrT: 26; servT: 7)
	123 -> (arrT: 28; servT: 6)
	788 -> (arrT: 28; servT: 6)
	756 -> (arrT: 30; servT: 5)
	44 -> (arrT: 32; servT: 4)
	388 -> (arrT: 33; servT: 4)
	64 -> (arrT: 35; servT: 8)
	837 -> (arrT: 36; servT: 8)
	36 -> (arrT: 38; servT: 8)
	781 -> (arrT: 38; servT: 6)
	636 -> (arrT: 40; servT: 6)
	324 -> (arrT: 42; servT: 6)
server: <Thread #13> has amount of work: 17
	686 -> (arrT: 15; servT: 8)
	708 -> (arrT: 16; servT: 7)
	290 -> (arrT: 18; servT: 8)
	499 -> (arrT: 19; servT: 3)
	103 -> (arrT: 22; servT: 4)
	273 -> (arrT: 23; servT: 7)
	856 -> (arrT: 24; servT: 3)
	680 -> (arrT: 26; servT: 6)
	949 -> (arrT: 28; servT: 4)
	546 -> (arrT: 29; servT: 4)
	819 -> (arrT: 30; servT: 4)
	410 -> (arrT: 33; servT: 6)
	340 -> (arrT: 35; servT: 3)
	855 -> (arrT: 36; servT: 7)
	791 -> (arrT: 38; servT: 4)
	700 -> (arrT: 40; servT: 4)
	383 -> (arrT: 42; servT: 6)
server: <Thread #14> has amount of work: 17
	736 -> (arrT: 15; servT: 3)
	833 -> (arrT: 16; servT: 6)
	339 -> (arrT: 18; servT: 7)
	561 -> (arrT: 19; servT: 3)
	289 -> (arrT: 23; servT: 7)
	22 -> (arrT: 24; servT: 8)
	981 -> (arrT: 24; servT: 6)
	772 -> (arrT: 26; servT: 4)
	560 -> (arrT: 29; servT: 6)
	39 -> (arrT: 30; servT: 7)
	930 -> (arrT: 30; servT: 7)
	526 -> (arrT: 33; servT: 5)
	256 -> (arrT: 36; servT: 7)
	885 -> (arrT: 36; servT: 8)
	967 -> (arrT: 38; servT: 5)
	57 -> (arrT: 39; servT: 4)
	759 -> (arrT: 40; servT: 8)
server: <Thread #15> has amount of work: 17
	40 -> (arrT: 15; servT: 2)
	801 -> (arrT: 15; servT: 3)
	916 -> (arrT: 16; servT: 7)
	720 -> (arrT: 19; servT: 6)
	299 -> (arrT: 21; servT: 3)
	448 -> (arrT: 23; servT: 3)
	171 -> (arrT: 25; servT: 6)
	61 -> (arrT: 26; servT: 3)
	793 -> (arrT: 26; servT: 8)
	579 -> (arrT: 29; servT: 3)
	91 -> (arrT: 31; servT: 7)
	53 -> (arrT: 33; servT: 3)
	551 -> (arrT: 33; servT: 8)
	959 -> (arrT: 36; servT: 4)
	95 -> (arrT: 39; servT: 5)
	198 -> (arrT: 40; servT: 4)
	206 -> (arrT: 41; servT: 6)
server: <Thread #16> has amount of work: 17
	46 -> (arrT: 15; servT: 1)
	806 -> (arrT: 15; servT: 3)
	941 -> (arrT: 16; servT: 7)
	843 -> (arrT: 19; servT: 3)
	109 -> (arrT: 23; servT: 8)
	600 -> (arrT: 23; servT: 6)
	203 -> (arrT: 25; servT: 8)
	991 -> (arrT: 26; servT: 4)
	611 -> (arrT: 29; servT: 3)
	264 -> (arrT: 30; servT: 3)
	178 -> (arrT: 31; servT: 8)
	682 -> (arrT: 33; servT: 5)
	604 -> (arrT: 35; servT: 8)
	160 -> (arrT: 37; servT: 7)
	26 -> (arrT: 39; servT: 4)
	326 -> (arrT: 39; servT: 3)
	216 -> (arrT: 41; servT: 5)
server: <Thread #17> has amount of work: 17
	810 -> (arrT: 15; servT: 6)
	234 -> (arrT: 17; servT: 3)
	389 -> (arrT: 18; servT: 7)
	513 -> (arrT: 20; servT: 8)
	659 -> (arrT: 23; servT: 5)
	121 -> (arrT: 24; servT: 8)
	249 -> (arrT: 25; servT: 6)
	999 -> (arrT: 26; servT: 6)
	628 -> (arrT: 29; servT: 6)
	311 -> (arrT: 30; servT: 4)
	431 -> (arrT: 31; servT: 7)
	716 -> (arrT: 33; servT: 7)
	230 -> (arrT: 37; servT: 3)
	50 -> (arrT: 38; servT: 7)
	370 -> (arrT: 39; servT: 3)
	265 -> (arrT: 41; servT: 4)
	482 -> (arrT: 42; servT: 6)
server: <Thread #18> has amount of work: 17
	62 -> (arrT: 16; servT: 5)
	280 -> (arrT: 17; servT: 5)
	174 -> (arrT: 21; servT: 5)
	334 -> (arrT: 21; servT: 3)
	698 -> (arrT: 23; servT: 5)
	2 -> (arrT: 25; servT: 6)
	313 -> (arrT: 25; servT: 8)
	90 -> (arrT: 27; servT: 8)
	678 -> (arrT: 29; servT: 7)
